code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
aho,6,2015,0,0.0014,0,566,133,433,6,0,133,0,160,1,58,219,74,2,5,81,5,128,121,92,342,159,0,128,135,93,0,57,8,369,178,451,104,305,175,75,13,508,34,422,134,16,133,420,13,439,127,0,0,299,267,19,0.70,10.0,3.1581,16.1917
bgu,6,2015,2,0.0037,0,427,8,419,65,0,8,0,118,0,17,135,110,28,138,276,3,5,5,56,355,119,0,4,75,272,6,16,6,148,264,354,62,149,164,105,14,378,26,459,26,7,8,250,169,419,8,0,1,248,178,23,0.67,13.1,4.6602,19.2316
csp,6,2015,1,0.0004,0.62,490,158,332,35,6,152,0,40,0,6,46,200,4,74,278,0,8,1,47,409,42,0,132,63,282,0,6,31,289,137,415,42,197,81,179,1,448,8,485,28,12,158,198,134,483,7,0,6,376,108,18,0.73,10.9,3.5005,18.1750
gob,6,2015,0,0.0004,0,419,24,395,14,0,24,0,200,0,25,225,111,1,4,116,0,54,10,25,383,201,0,73,14,120,0,25,6,205,207,385,33,278,29,111,8,408,2,419,5,9,24,383,12,410,9,0,0,355,64,17,0.57,9.2,3.0973,17.7559
ral,6,2015,1,0.0004,0,595,9,586,20,5,4,0,12,0,323,335,114,18,101,233,16,2,142,227,225,13,0,1,22,241,16,322,14,471,109,222,372,26,450,118,135,452,7,449,21,145,9,454,132,431,164,0,6,464,125,21,0.65,10.7,3.2143,15.7390
rom,6,2015,0,0.0004,0,1236,728,508,16,31,697,0,48,0,181,229,163,2,113,278,0,1,164,201,833,48,0,659,57,308,1,179,76,979,143,910,288,662,400,136,114,1050,34,1033,78,141,728,318,190,1080,156,0,34,1086,116,18,0.80,11.1,4.7807,17.7137
srl,6,2015,2,0.0037,0.25,556.5,240.5,316,128,2,239,0,46,0,0,46,69.5,60.5,53,183,0,87,0,64,450,52,0,87,367,177,2,0,54,124,337,447,67.5,409.5,63.5,41,0,506,9,409,263,13,240.5,159,157,555,2,0,2,116,439,18,0.74,13.4,4.2725,19.3654
sru,6,2015,1,0.0036,0,319,51,268,62,2,49,0,62,0,0,62,73,9,34,116,7,83,0,18,284,62,0,82,112,117,8,0,9,149,144,278,24,199,42,61,0,301,1,319,58,4,51,203,65,310,9,0,2,142,175,17,0.81,11.9,4.9919,19.2102
sys,6,2015,0,0.0004,0,213,78,135,117,0,78,0,2,0,95,97,26,8,1,35,0,3,94,15,83,6,0,29,169,30,1,95,12,147,33,80,112,67,99,26,93,95,4,180,57,93,78,116,19,120,93,0,0,160,53,18,0.58,9.2,1.3005,16.9812
taj,6,2015,0,0.0013,0,608,169,439,20,28,134,7,42,0,25,67,38,22,193,253,2.5,116.7,18,54,526,49.2,0,138,131,267,18,26,4,226,368,538,59.2,305.8,259.2,32.5,13,580,5,450,135,43,169.2,220.0,219.2,553.3,48.3,6.7,29.2,138,442,28,0.67,14.6,1.3543,17.8534
